id,date_start,type_of_violence,conflict_name,dyad_name,side_a,side_b,country,adm_1,adm_2,latitude,longitude,best,low,high,deaths_civilians,deaths_a,deaths_b,deaths_unknown,where_description,active_year,month
500203,2023-11-17,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Bakhmut raion,48.592436,37.99993,2,2,2,0,2,0,0,"south of Bakhmut, Donetsk region",True,2023-11
536609,2024-08-17,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Zaporizhzhya oblast,Vasylivka raion,47.50725,35.45987,2,2,2,0,0,2,0,near Malaya Tokmachka and Pyatikhatki in Zaporizhia Oblast,True,2024-08
533081,2024-01-26,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Donetsk raion,48.0,37.805278,1,1,1,0,0,1,0,Donetsk District	Donetska urban community	Donets'k,True,2024-01
548328,2024-04-29,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,Svativskyi raion,49.52196,37.95456,1,1,1,0,0,1,0,"Novoselivs'ke, Kolomyichyska rural community, Svatove District, Luhansk Oblast",True,2024-04
463607,2023-02-09,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.145278,37.745,29,29,29,0,27,2,0,"Donetsk direction:  areas of the settlements of Slavyansk, Avdeevka and Malinovka of the Donetsk People's Republic .",True,2023-02
528348,2024-06-25,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Volnovakha raion,47.79425,36.99047,1,1,1,1,0,0,0,Zolotya Niva of the Velikonovosilkiv community,True,2024-06
547897,2024-10-05,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Luhansk oblast,Severodonetsk raion,49.041997,38.210206,1,1,1,1,0,0,0,Kreminna,True,2024-10
485085,2022-05-22,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Kharkiv oblast,Izyum raion,49.209749,37.265663,1,1,1,0,0,1,0,Near Izyum in the Kharkiv region,True,2022-05
527096,2024-01-16,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Donetsk oblast,Pokrovsk raion,48.1886,37.760033,1,0,3,0,1,0,0,"Vesele (Ocheretyne hromada), Pokrovsk raion",True,2024-01
486751,2023-08-21,1,Russia - Ukraine,Government of Russia (Soviet Union) - Government of Ukraine,Government of Russia (Soviet Union),Government of Ukraine,Ukraine,Zaporizhzhya oblast,Polohy raion,47.427906,35.985916,2,2,2,0,0,2,0,north of the village of Verbove in the Zaporozhye region,True,2023-08
